reg_no,name,t1_2025後期,t2_2026前期,今期
011142,小林 宏年,67.48,67.94,67.83
011198,大竹 慎吾,,77.85,65.41
011288,中澤 孝之,,72.66,65.25
011341,黒崎 直行,,79.1,67.55
011346,野崎 修一,67.2,68.04,66.88
011364,遠澤 健二,71.11,68.76,66.88
011367,石川 一浩,70.72,68.55,68.44
011382,清水 広幸,80.05,62.43,62.61
011427,川口 秀人,,79.57,67.42
011431,梶應 弘樹,63,61.73,62.16
011451,重 一徳,66.86,68.32,66.5
011665,倉岡 慎太郎,69.79,69.34,65
011712,金田 健一郎,,78.50,68.66
011790,廣川 貞治,67.17,68.58,67.54
011792,木下 章,69.39,67.86,67.58
011803,植田 誠,67.9,67.15,68.25
011821,中川 博文,68.87,66.45,68
011990,茂木 和臣,,72.11,67.83
011994,藤光 健一,64.83,69.45,68.25
012005,藤田 和彦,68.47,68.9,68.5
012157,竹野 行登,68.23,68.88,68.23
012197,奥山 雅士,,70.23,66.25
012206,白井 一機,,77.00,69.66
012277,井上 典善,66.09,66,64
012290,小西 芳樹,,70.03,64.66
012299,増成 富夫,,70.33,68.36
012319,高尾 剛文,68.33,67.92,67.18
012329,松尾 正人,70.12,65.52,69
012348,飯田 威文,68.65,69.72,69.41
012406,濱田 昭一郎,67.98,68.47,68
012509,岡嵜 浩一,61,65.52,66.75
012512,眞原 健一,,70,66.11
012530,池上 孝之,69,67.84,68.22
012537,取鳥 敬一,66.18,65.22,66.88
012547,横瀬 聡,69.16,67.64,67.77
012597,塚本 貴雄,,72.57,67.87
012618,武智 尚之,68.56,67.77,66.11
012626,原 司,69.81,65.11,67.16
012671,滝川 秀嗣,66.33,67.37,66.5
012694,志村 達也,70.37,69.28,67.66
012725,浦山 一栄,67.46,69.27,69.22
012754,小野 祐作,69.33,67.12,67.37
012783,平澤 秀信,68.33,66.61,67.66
012847,古閑 良介,,70.05,66
012858,亀井 宏佳,,79.37,68.33
012883,大沼 孝行,68.65,69.76,67.88
012885,田中 智也,67.66,69.05,68.25
012906,太田 良政,68.1,68.04,67
012913,増田 鉄男,,74.21,64.8
012930,浦崎 貴史,,73.94,68.66
012934,煤賀 隆幸,78.71,68.63,66.16
012970,山内 大作,65.33,64.94,64.14
012976,中井 修,,71.65,69.33
012982,上原 直樹,,70.73,67.58
012986,近藤 直幹,71.17,70.42,65.35
012997,後田 康成,,70.70,68.22
013023,吉田 英二,71.66,67.52,68.52
013027,戸ノ下 太郎,68.6,68.19,69.33
013029,藤田 晃英,68.39,67.21,66.16
013030,梶山 大輔,68.94,68.31,69.75
013037,町田 勝志,65.92,68.92,67.11
013040,服部 竜二,,70.15,62.75
013061,小磯 知也,,79.09,69.58
013062,藤原 義浩,69.43,66.64,66.33
013080,阿部 利光,69.28,68.21,69.66
013082,小泉 俊也,69.05,69.92,68
013105,松本 一成,67.33,68.09,67.2
013161,齋藤 和也,69.09,68.56,68.07
013184,相樂 修,72.14,80.56,67.25
013212,岡田 浩太,68,67.16,68.83
013217,佐々木 英之,,70,65.75
013232,柳 充,,79.23,68.63
013244,小林 高志,67.63,67.74,66.25
013272,古田 義明,71.12,68.12,65
013303,須々田 大昇,67.58,68.67,69.33
013320,村上 順規,66.85,67.89,66
013324,市川 博章,,70.26,68.91
013327,高橋 健太,,82.48,69.20
013402,沼川 夢久,67.83,67.92,67.28
013415,山崎 明寛,67.6,68,67.5
013446,丸林 一孝,,72.40,68.33
013452,齊藤 紳一朗,,76.80,69.25
013454,関戸 努,70.76,66.74,65.11
013470,畠山 裕行,70.59,66.9,68.25
013505,住村 実,,70.18,69.61
013513,南 和夫,68.42,66.79,65.53
013525,亀井 道佳,,71.22,68.37
013531,伊藤 司,65.71,66.65,65.4
013541,高森 圭介,68.8,67.91,69.11
013567,吉原 友彦,,71.06,65
013588,齋藤 仁,73,66.94,68.5
013651,井山 和裕,,70.88,68.00
013663,中野 功史,,76.75,69.33
013678,菊池 崇訓,68.04,67.28,67.83
013684,吉橋 秀城,69.34,69.4,65.66
013713,丸山 勝也,68.43,68.16,67.33
013781,服部 正継,68.42,66.34,68.57
013788,白崎 芳典,70.54,70.57,67.55
013794,川西 亮介,77.33,68.1,66.4
013818,赤星 俊光,67.88,67.21,63.75
013840,高瀬 卓,67.14,67.5,64.33
013847,小林 大能,67,68.31,64
013861,岡田 大門,70.33,68.44,68.8
013867,樋口 奨平,68,69.12,69.25
013927,高橋 由記,66.97,68.37,68.55
013972,富永 昌久,69.46,67.76,67.41
014006,青木 亮太,65.86,69.56,69.3
014010,長谷川 辰徳,68.12,67.52,66.16
014015,米倉 剛志,66.64,68.25,69.41
014019,長崎 達也,,70.14,68.00
014069,渡邊 政幸,,79.31,69.90
014099,坂本 佳憲,70.84,70.25,66.36
014101,永橋 武司,69.57,67.89,67.83
014154,長岡 豪,64.33,67.73,69.85
014179,肥後 公允,75.33,65.36,65.5
014183,隅田 幸助,70.79,66.47,64
014209,加美山 隆行,,70.44,67.5
014213,岡田 哲夫,69.43,69.12,67.77
014251,関谷 哲平,67.52,68.33,67.66
014254,武田 和也,,70.96,69.75
014272,松田 直也,,80.81,68.36
014275,喜納 隆志,,80.66,67.9
014287,齋藤 昌太,,70.14,67.91
014289,羽石 国臣,78.16,69.12,68.44
014295,山崎 寛巳,,70.56,67.88
014365,薮田 貴幸,,70.47,66.14
014373,鈴木 雄一朗,69.23,66.7,67
014381,吉澤 賢,68,67.47,69
014382,伊藤 翼,70.41,69.68,67.73
014388,水野 悟志,80.34,69.04,69.37
014395,竹田 慎一,68.28,67.36,66.55
014407,森 佑樹,,70.53,68.08
014413,松本 充生,67.31,68.24,67.75
014416,矢田 晋,77.47,67.62,67.37
014424,大澤 哉太,,71.36,66.36
014433,長田 彰人,70.3,66.62,68.36
014446,菅藤 智,,71.53,67
014463,久保 将史,76.25,63.11,63.4
014482,松本 琢也,68.32,67.43,69.77
014483,竜門 孝宗,,71.55,69.00
014490,永田 隼一,71.92,69.32,67
014503,真船 拓磨,69.2,70.93,66.75
014555,水木 裕聡,69.04,68.52,68.66
014559,田山 誠,,70.18,68.66
014583,吉田 昌弘,,71.83,68.50
014589,西巻 秀太,,78.48,69.66
014595,瀧本 匡平,69.47,69.57,69.16
014643,菅原 洋輔,68.12,68.67,69.88
014650,佐藤 裕輝,65.77,67.81,67.33
014652,原 清孝,,77.61,68.08
014662,櫻井 宏樹,,70.64,67.77
014667,藤本 龍也,68.89,66.38,67.16
014678,樋口 有樹郎,74,68.2,69.92
014693,高田 大輔,67.51,68.07,68.36
014694,前島 恭平,69.53,67.73,66.3
014697,相川 巧,69.37,68.61,68.09
014772,細田 純平,,70.72,69.35
014777,竹村 達也,66.04,67.92,64.33
014802,渡邉 正人,66.72,68.36,69.55
014810,小川 辰徳,,76.70,68.76
014844,三登 誉哲,66.12,67.04,65.5
014853,中山 敬太郎,,75.8,63
014868,小林 寛弥,68,68,68.22
014880,野見 泰要,,71.61,69.68
014884,友永 龍介,70.41,69.22,68.33
014931,横田 政直,79.09,68.1,67.55
014932,浦野 慈生,66.67,67.46,67.11
014948,斎藤 敦,,70.78,68.22
014979,黒川 渉,,78.00,69.00
015053,廣田 敦士,,79.16,67.58
015062,大室 翔,,70.76,69.88
