reg_no,name,kana,pref,term,grade,next_grade
010900,三浦 靖,ミウラ ヤスシ,岐阜,53,A2,
011142,小林 宏年,コバヤシ ヒロトシ,静岡,55,A3,
011198,大竹 慎吾,オオタケ シンゴ,大分,55,A3,
011288,中澤 孝之,ナカザワ タカユキ,大阪,56,A3,
011328,川添 輝彦,カワゾエ テルヒコ,沖縄,56,A3,
011341,黒崎 直行,クロサキ ナオユキ,栃木,57,A3,
011346,野崎 修一,ノザキ シユウイチ,栃木,57,A3,
011364,遠澤 健二,トオサワ ケンジ,神奈川,57,A3,
011367,石川 一浩,イシカワ カズヒロ,静岡,57,A3,
011372,黒瀬 浩一,クロセ コウイチ,静岡,57,A2,
011382,清水 広幸,シミズ ヒロユキ,愛知,57,A3,
011417,小川 巧,オガワ タクミ,岡山,57,A3,
011427,川口 秀人,カワグチ ヒデト,徳島,57,A3,
011431,梶應 弘樹,カジオ コウキ,愛媛,57,A3,
011451,重 一徳,シゲ カズノリ,鹿児島,57,A3,
011454,杉浦 康一,スギウラ コウイチ,北海道,58,A2,
011477,川口 満宏,カワグチ ミツヒロ,東京,58,A1,
011487,宮倉 勇,ミヤクラ イサム,千葉,58,A2,
011574,坂本 英一,サカモト エイイチ,栃木,59,A3,
011599,和泉田 喜一,イズミタ キイチ,千葉,59,A3,
011619,疋田 敏,ヒキタ サトシ,愛知,59,A2,
011622,杉山 正和,スギヤマ マサカズ,三重,59,A3,
011634,中澤 央治,ナカザワ エイジ,大阪,59,A2,
011665,倉岡 慎太郎,クラオカ シンタロウ,熊本,59,A3,
011712,金田 健一郎,カネダ ケンイチロウ,大阪,60,A3,
011713,古原 勝己,コハラ カツミ,大阪,60,A2,
011715,黒木 誠一,クロキ セイイチ,兵庫,60,A3,
011734,濱口 健二,ハマグチ ケンジ,高知,60,A2,
011790,廣川 貞治,ヒロカワ サダハル,東京,61,A3,
011792,木下 章,キノシタ アキラ,長野,61,A3,
011800,三住 博昭,ミスミ ヒロアキ,神奈川,61,A2,
011803,植田 誠,ウエダ マコト,静岡,61,A3,
011817,有賀 高士,アリガ タカシ,石川,61,A2,
011821,中川 博文,ナカガワ ヒロフミ,福井,61,A3,
011840,安田 光義,ヤスダ ミツヨシ,広島,61,A2,
011854,紫原 政文,シハラ マサフミ,福岡,61,A1,
011907,島野 浩司,シマノ コウジ,愛知,62,A1,
011935,高嶋 一朗,タカシマ イチロウ,岡山,62,A3,
011990,茂木 和臣,モテギ カズオミ,埼玉,63,A3,
011993,深井 高志,フカイ タカシ,東京,63,A3,
