reg_no,name,grade,score,entries,racing_now,retired
010900,三浦 靖,A2,77.25,岸和田@08/27-08/29;豊橋@09/11-09/13;熊本@09/24-09/26,,
011142,小林 宏年,A3,67.83,立川@08/22-08/24;弥彦@09/07-09/09;岸和田@09/14-09/16,西武,
011198,大竹 慎吾,A3,65.41,宇都宮@08/24-08/26;久留米@09/05-09/07;いわき平@09/15-09/17;川崎@09/24-09/26,,
011288,中澤 孝之,A3,65.25,玉野@08/20-08/22;四日市@08/29-08/31;豊橋@09/11-09/13;松山@09/19-09/21,,
011328,川添 輝彦,A3,,武雄@09/09-09/11;小松島@09/17-09/19;別府@09/24-09/26,,
011341,黒崎 直行,A3,67.55,豊橋@08/18-08/20;いわき平@08/30-09/01;武雄@09/09-09/11;川崎@09/17-09/19,,
011346,野崎 修一,A3,66.88,立川@08/17-08/19;熊本@08/24-08/26;松阪@09/05-09/07;小松島@09/17-09/19,,
011364,遠澤 健二,A3,66.88,伊東@09/02-09/04;大宮@09/21-09/23,西武,
011367,石川 一浩,A3,68.44,立川@08/17-08/19;伊東@08/27-08/29;弥彦@09/07-09/09;川崎@09/17-09/19,,
011372,黒瀬 浩一,A2,76.16,静岡@08/15-08/17;立川@09/03-09/05;川崎@09/17-09/19,,
011382,清水 広幸,A3,62.61,立川@08/22-08/24;弥彦@09/02-09/04;豊橋@09/11-09/13;広島@09/20-09/22,,
011417,小川 巧,A3,74.66,宇都宮@08/24-08/26;松山@09/12-09/14;奈良@09/24-09/26,,
011427,川口 秀人,A3,67.17,青森@08/24-08/26;いわき平@09/15-09/17;奈良@09/24-09/26,,
011431,梶應 弘樹,A3,62.16,別府@08/16-08/18;青森@08/24-08/26;大垣@09/13-09/15;広島@09/20-09/22,,
011451,重 一徳,A3,66.50,豊橋@08/18-08/20;いわき平@08/30-09/01;武雄@09/09-09/11;奈良@09/24-09/26,,
011454,杉浦 康一,A2,79.55,立川@08/17-08/19;西武園@08/31-09/02;防府@09/15-09/17,,
011477,川口 満宏,A1,90.88,大垣@08/17-08/19;高知@08/25-08/27;松戸@09/01-09/03;いわき平@09/15-09/17,,
011487,宮倉 勇,A2,82.33,西武園@08/31-09/02;川崎@09/17-09/19,,
011574,坂本 英一,A3,76.50,伊東@08/16-08/18;静岡@08/30-09/01;富山@09/10-09/12;小松島@09/17-09/19,,
011599,和泉田 喜一,A3,,弥彦@09/07-09/09;小松島@09/17-09/19,,
011619,疋田 敏,A2,86.55,静岡@08/15-08/17;四日市@08/29-08/31;松阪@09/05-09/07;別府@09/24-09/26,,
011622,杉山 正和,A3,70.00,奈良@08/20-08/22;四日市@08/29-08/31;松阪@09/05-09/07;武雄@09/16-09/18,,
011634,中澤 央治,A2,,西武園@08/21-08/23;岐阜@08/30-09/01;別府@09/16-09/18;伊東@09/23-09/25,,
011665,倉岡 慎太郎,A3,65.00,立川@08/22-08/24;いわき平@08/30-09/01;武雄@09/16-09/18;奈良@09/24-09/26,,
011712,金田 健一郎,A3,68.66,松山@08/21-08/23;伊東@08/27-08/29;武雄@09/09-09/11;大宮@09/21-09/23,,
011713,古原 勝己,A2,,,,
011715,黒木 誠一,A3,70.33,奈良@08/20-08/22;静岡@08/30-09/01;大垣@09/13-09/15;大宮@09/21-09/23,,
011734,濱口 健二,A2,,,,
011790,廣川 貞治,A3,67.54,青森@08/24-08/26;伊東@09/02-09/04;岸和田@09/14-09/16;奈良@09/24-09/26,,
011792,木下 章,A3,67.58,豊橋@08/18-08/20;四日市@08/29-08/31;富山@09/10-09/12;川崎@09/17-09/19,,
011800,三住 博昭,A2,78.84,奈良@08/26-08/28;豊橋@09/04-09/06;佐世保@09/12-09/14;いわき平@09/27-09/29,,
011803,植田 誠,A3,68.25,青森@08/24-08/26;弥彦@09/02-09/04;いわき平@09/15-09/17;大垣@09/22-09/24,,
011817,有賀 高士,A2,78.33,前橋@08/15-08/17;川崎@08/30-09/01;岐阜@09/13-09/15;立川@09/22-09/24,,
011821,中川 博文,A3,68.00,立川@08/22-08/24;西武園@09/06-09/08;大垣@09/13-09/15,,
011840,安田 光義,A2,,,,
011854,紫原 政文,A1,86.00,防府@08/23-08/25;松山@08/31-09/02;立川@09/22-09/24,,
011907,島野 浩司,A1,86.83,玉野@08/26-08/28;松阪@09/05-09/07;立川@09/22-09/24,京王,
011935,高嶋 一朗,A3,71.06,立川@08/22-08/24;武雄@09/09-09/11;小松島@09/17-09/19,,
011990,茂木 和臣,A3,67.83,別府@08/16-08/18;富山@09/10-09/12;平塚@09/28-09/30,,
011993,深井 高志,A3,71.88,和歌山@08/23-08/25;武雄@09/16-09/18;川崎@09/24-09/26,西武,
011994,藤光 健一,A3,68.25,熊本@08/24-08/26;弥彦@09/02-09/04;小松島@09/17-09/19,西武,
012005,藤田 和彦,A3,68.50,立川@08/17-08/19;大垣@09/13-09/15;弥彦@09/24-09/26,,
012042,山原 利秀,A2,81.44,武雄@08/21-08/23;川崎@08/30-09/01;久留米@09/17-09/19;熊本@09/24-09/26,,
012092,高木 隆弘,A3,73.33,別府@08/16-08/18;四日市@08/29-08/31;松阪@09/05-09/07;奈良@09/24-09/26,,
012097,斯波 雅貴,A2,82.66,武雄@08/21-08/23;立川@09/16-09/18;いわき平@09/27-09/29,青森,
012112,冨岡 健一,A2,81.66,和歌山@08/30-09/01;岸和田@09/14-09/16;玉野@09/27-09/29,,
012128,山根 泰道,A2,81.66,奈良@08/20-08/22;富山@09/03-09/05;防府@09/15-09/17,武雄,
012130,石田 洋秀,A1,78.66,武雄@08/21-08/23;立川@09/03-09/05;高知@09/20-09/22;防府@09/29-10/01,奈良,
012132,甲斐下 智,A2,77.66,高知@08/25-08/27;川崎@09/10-09/12;佐世保@09/20-09/22,岐阜,
012157,竹野 行登,A3,68.23,いわき平@08/30-09/01;松山@09/12-09/14;広島@09/20-09/22,,
012164,堀 政美,A2,81.18,立川@09/03-09/05;伊東@09/23-09/25,武雄,
012193,井手 尚治,A2,81.55,静岡@08/15-08/17;高知@08/25-08/27;西武園@09/06-09/08,,
012197,奥山 雅士,A3,66.25,和歌山@08/23-08/25;弥彦@09/02-09/04;立川@09/16-09/18,,
012202,望月 裕一郎,,,,,
012206,白井 一機,A3,69.66,松山@08/21-08/23;松戸@09/01-09/03;広島@09/20-09/22,西武,
012208,鰐渕 正利,A3,72.44,豊橋@08/18-08/20;四日市@08/29-08/31;松阪@09/05-09/07;大垣@09/22-09/24,,
012216,武田 哲二,A2,80.20,和歌山@08/23-08/25;西武園@08/31-09/02;前橋@09/11-09/13;立川@09/22-09/24,京王,
012234,室井 竜二,A1,86.40,武雄@08/21-08/23;豊橋@09/04-09/06;岐阜@09/13-09/15;小松島@09/23-09/25,,
012242,穴井 利久,A2,77.13,玉野@09/08-09/10;立川@09/22-09/24,,
012248,中井 大介,A3,76.22,別府@08/16-08/18;熊本@08/24-08/26;久留米@09/05-09/07;武雄@09/16-09/18;別府@09/24-09/26,,
012261,岡部 芳幸,A1,85.71,静岡@08/15-08/17;岸和田@08/27-08/29;青森@09/14-09/16;立川@09/22-09/24,,
012277,井上 典善,A3,64.00,和歌山@08/23-08/25;伊東@09/02-09/04;川崎@09/17-09/19;奈良@09/24-09/26,,
012283,富永 益生,A1,,四日市@08/17-08/19;岐阜@08/24-08/26;防府@09/15-09/17;小松島@09/23-09/25,,
012287,西川 弘資,A3,70.33,豊橋@08/18-08/20;武雄@09/16-09/18;奈良@09/24-09/26,,
012290,小西 芳樹,A3,64.66,立川@08/22-08/24;富山@09/10-09/12;小松島@09/17-09/19,,
012298,星島 太,A2,78.91,小松島@08/27-08/29;高知@09/09-09/11;立川@09/22-09/24,,
012299,増成 富夫,A3,68.36,松阪@08/25-08/27;弥彦@09/02-09/04;川崎@09/10-09/12;松山@09/19-09/21,,
012307,尾崎 勝弘,A3,71.50,宇都宮@08/24-08/26;武雄@09/16-09/18;別府@09/24-09/26,,
012319,高尾 剛文,A3,67.18,青森@08/24-08/26;川崎@09/10-09/12;奈良@09/24-09/26,,
012321,檀 雄二,A3,71.00,別府@08/16-08/18;伊東@08/27-08/29;武雄@09/09-09/11;小松島@09/17-09/19,,
012326,國武 耕二,A2,87.77,西武園@08/21-08/23;小倉@08/28-08/30;立川@09/22-09/24;防府@09/29-10/01,,
012329,松尾 正人,A3,69.00,宇都宮@08/24-08/26;弥彦@09/02-09/04;松山@09/12-09/14;広島@09/20-09/22,,
