reg_no,name,grade,score,entries,racing_now,starts,dq,form_emoji,form_avg,retired
010900,三浦 靖,A2,77.25,岸和田@08/27-08/29;豊橋@09/11-09/13;熊本@09/24-09/26,,8,0,🥺,5.6,
011142,小林 宏年,A3,67.61,弥彦@09/07-09/09;岸和田@09/14-09/16,,18,0,,5.4,
011198,大竹 慎吾,A3,65.41,久留米@09/05-09/07;いわき平@09/15-09/17;川崎@09/24-09/26,宇都,12,0,🥺,6.2,
011288,中澤 孝之,A3,66.42,四日市@08/29-08/31;豊橋@09/11-09/13;松山@09/19-09/21,,7,0,,5.2,
011328,川添 輝彦,A3,,武雄@09/09-09/11;小松島@09/17-09/19;別府@09/24-09/26,,0,0,,,
011341,黒崎 直行,A3,70.00,いわき平@08/30-09/01;武雄@09/09-09/11;川崎@09/17-09/19,,12,0,,4.0,
011346,野崎 修一,A3,66.50,松阪@09/05-09/07;小松島@09/17-09/19,熊本,12,0,,5.0,
011364,遠澤 健二,A3,66.66,伊東@09/02-09/04;豊橋@09/11-09/13;大宮@09/21-09/23,,12,0,,5.4,
011367,石川 一浩,A3,68.50,伊東@08/27-08/29;弥彦@09/07-09/09;川崎@09/17-09/19,,12,0,,4.0,
011372,黒瀬 浩一,A2,76.00,立川@09/03-09/05;川崎@09/17-09/19,,15,0,🥺,6.2,
011382,清水 広幸,A3,62.50,弥彦@09/02-09/04;豊橋@09/11-09/13;広島@09/20-09/22,,16,0,🥺,6.8,
011417,小川 巧,A3,74.66,松山@09/12-09/14;奈良@09/24-09/26,宇都,3,0,,,
011427,川口 秀人,A3,67.17,いわき平@09/15-09/17;奈良@09/24-09/26,青森,17,0,,5.2,
011431,梶應 弘樹,A3,62.62,大垣@09/13-09/15;広島@09/20-09/22,青森,16,0,🥺,6.2,
011451,重 一徳,A3,66.93,いわき平@08/30-09/01;武雄@09/09-09/11;奈良@09/24-09/26,,15,0,,4.0,
011454,杉浦 康一,A2,79.73,西武園@08/31-09/02;防府@09/15-09/17,,15,0,,4.4,
011477,川口 満宏,A1,90.66,松戸@09/01-09/03;いわき平@09/15-09/17,高知,12,0,,3.8,
011487,宮倉 勇,A2,82.83,西武園@08/31-09/02;川崎@09/17-09/19,,18,0,,4.4,
011574,坂本 英一,A3,75.92,静岡@08/30-09/01;富山@09/10-09/12;小松島@09/17-09/19,,13,1,,3.0,
011599,和泉田 喜一,A3,,弥彦@09/07-09/09;小松島@09/17-09/19,,0,0,,,
011619,疋田 敏,A2,85.66,四日市@08/29-08/31;松阪@09/05-09/07;別府@09/24-09/26,,12,0,,4.2,
011622,杉山 正和,A3,70.50,松阪@09/05-09/07;武雄@09/16-09/18,,12,0,,4.6,
011634,中澤 央治,A2,82.66,岐阜@08/30-09/01;別府@09/16-09/18;伊東@09/23-09/25,,6,0,,4.4,
011665,倉岡 慎太郎,A3,66.13,いわき平@08/30-09/01;武雄@09/16-09/18;奈良@09/24-09/26,,15,0,,5.0,
011712,金田 健一郎,A3,70.00,武雄@09/09-09/11;大宮@09/21-09/23,,15,0,,4.0,
011713,古原 勝己,A2,,,,0,0,,,
011715,黒木 誠一,A3,69.33,静岡@08/30-09/01;大垣@09/13-09/15;大宮@09/21-09/23,,9,0,,4.0,
011734,濱口 健二,A2,,,,0,0,,,
011790,廣川 貞治,A3,67.91,伊東@09/02-09/04;岸和田@09/14-09/16;奈良@09/24-09/26,青森,12,0,,4.6,
011792,木下 章,A3,67.13,四日市@08/29-08/31;富山@09/10-09/12;川崎@09/17-09/19,,15,0,,4.8,
011800,三住 博昭,A2,79.28,奈良@08/26-08/28;豊橋@09/04-09/06;佐世保@09/12-09/14;いわき平@09/27-09/29,,13,0,,4.8,
011803,植田 誠,A3,68.25,弥彦@09/02-09/04;いわき平@09/15-09/17;大垣@09/22-09/24,青森,12,0,🥺,5.6,
011817,有賀 高士,A2,78.41,川崎@08/30-09/01;岐阜@09/13-09/15;立川@09/22-09/24,,12,0,,5.0,
011821,中川 博文,A3,68.25,西武園@09/06-09/08;大垣@09/13-09/15,,12,0,,3.6,
011840,安田 光義,A2,,,,0,0,,,
011854,紫原 政文,A1,86.00,松山@08/31-09/02;立川@09/22-09/24,防府,9,0,,3.8,
011907,島野 浩司,A1,87.11,玉野@08/26-08/28;松阪@09/05-09/07;立川@09/22-09/24,,6,0,,3.6,
011935,高嶋 一朗,A3,70.77,武雄@09/09-09/11;小松島@09/17-09/19,,18,0,,3.4,
011990,茂木 和臣,A3,69.20,富山@09/10-09/12;平塚@09/28-09/30,,15,1,,3.4,
011993,深井 高志,A3,70.41,武雄@09/16-09/18;川崎@09/24-09/26,,12,0,,4.6,
011994,藤光 健一,A3,66.16,弥彦@09/02-09/04;小松島@09/17-09/19,,6,0,🥺,5.8,
012005,藤田 和彦,A3,69.46,大垣@09/13-09/15;弥彦@09/24-09/26,和歌,15,0,,4.2,
012042,山原 利秀,A2,80.58,川崎@08/30-09/01;久留米@09/17-09/19;熊本@09/24-09/26,,12,0,,4.8,
012092,高木 隆弘,A3,72.14,四日市@08/29-08/31;松阪@09/05-09/07;奈良@09/24-09/26,,7,0,,4.0,
012097,斯波 雅貴,A2,81.50,立川@09/16-09/18;いわき平@09/27-09/29,,18,0,,5.4,
012112,冨岡 健一,A2,81.66,和歌山@08/30-09/01;岸和田@09/14-09/16;玉野@09/27-09/29,,12,0,,4.8,
012128,山根 泰道,A2,81.50,富山@09/03-09/05;防府@09/15-09/17,,12,0,,4.6,
012130,石田 洋秀,A1,79.22,立川@09/03-09/05;高知@09/20-09/22;防府@09/29-10/01,,9,0,,5.0,
012132,甲斐下 智,A2,78.00,川崎@09/10-09/12;佐世保@09/20-09/22,高知,15,0,,5.0,
012157,竹野 行登,A3,68.31,いわき平@08/30-09/01;松山@09/12-09/14;広島@09/20-09/22,,16,1,,3.8,
012164,堀 政美,A2,81.47,立川@09/03-09/05;伊東@09/23-09/25,,17,0,,4.2,
012193,井手 尚治,A2,81.91,西武園@09/06-09/08,高知,12,0,,4.2,
012197,奥山 雅士,A3,66.25,弥彦@09/02-09/04;立川@09/16-09/18,,4,0,,,
012202,望月 裕一郎,,,,,12,0,,,
012206,白井 一機,A3,67.50,松戸@09/01-09/03;広島@09/20-09/22,,12,0,,5.4,
012208,鰐渕 正利,A3,74.16,四日市@08/29-08/31;松阪@09/05-09/07;大垣@09/22-09/24,,12,0,,3.4,
012216,武田 哲二,A2,79.76,西武園@08/31-09/02;前橋@09/11-09/13;立川@09/22-09/24,和歌,13,0,,5.2,
012234,室井 竜二,A1,88.50,豊橋@09/04-09/06;岐阜@09/13-09/15;小松島@09/23-09/25,,8,0,,4.0,
012242,穴井 利久,A2,77.13,玉野@09/08-09/10;立川@09/22-09/24,,12,0,🥺,6.2,
012248,中井 大介,A3,76.16,久留米@09/05-09/07;武雄@09/16-09/18;別府@09/24-09/26,熊本,12,0,,3.0,
012261,岡部 芳幸,A1,85.60,岸和田@08/27-08/29;青森@09/14-09/16;立川@09/22-09/24,,10,0,,3.8,
012277,井上 典善,A3,64.00,伊東@09/02-09/04;川崎@09/17-09/19;奈良@09/24-09/26,和歌,12,0,🥺,5.8,
012283,富永 益生,A1,85.66,防府@09/15-09/17;小松島@09/23-09/25,岐阜,3,0,,4.6,
012287,西川 弘資,A3,70.80,武雄@09/16-09/18;奈良@09/24-09/26,,15,0,,3.4,
012290,小西 芳樹,A3,64.44,富山@09/10-09/12;小松島@09/17-09/19,,9,0,🥺,5.6,
012298,星島 太,A2,78.91,小松島@08/27-08/29;高知@09/09-09/11;立川@09/22-09/24,,12,0,,5.2,
012299,増成 富夫,A3,68.36,弥彦@09/02-09/04;川崎@09/10-09/12;松山@09/19-09/21,松阪,11,0,,2.6,
012307,尾崎 勝弘,A3,71.50,武雄@09/16-09/18;別府@09/24-09/26,宇都,8,0,,3.8,
012319,高尾 剛文,A3,67.57,川崎@09/10-09/12;奈良@09/24-09/26,青森,14,0,,4.6,
012321,檀 雄二,A3,71.25,伊東@08/27-08/29;武雄@09/09-09/11;小松島@09/17-09/19,,12,0,,4.0,
012326,國武 耕二,A2,87.08,小倉@08/28-08/30;立川@09/22-09/24;防府@09/29-10/01,,12,0,,4.2,
