reg_no,name,grade,score,entries,racing_now,today_race,starts,dq,form_emoji,form_avg,retired
010900,三浦 靖,A2,77.54,防府@10/04-10/06;大垣@10/27-10/29,熊本,熊本Ｆ２@09/24/5R;熊本Ｆ２@09/25/2R;熊本Ｆ２@09/26/2R,11,0,🥺,5.4,
011142,小林 宏年,A3,67.56,前橋@09/30-10/02;高知@10/07-10/09;宇都宮@10/30-11/01,,,25,0,🥺,4.6,
011198,大竹 慎吾,A3,65.23,松戸@10/03-10/05;岐阜@10/10-10/12,川崎,川崎Ｆ２@09/24/3R;川崎Ｆ２@09/25/1R;川崎Ｆ２@09/26/2R,21,0,🥺,6.0,
011288,中澤 孝之,A3,67.06,武雄@10/09-10/11;久留米@10/27-10/29,,,16,0,,4.4,
011328,川添 輝彦,A3,66.50,高知@10/07-10/09;久留米@10/27-10/29,別府,別府Ｆ２@09/24/3R;別府Ｆ２@09/25/2R;別府Ｆ２@09/26/2R,6,0,🥺,5.4,
011341,黒崎 直行,A3,71.33,高知@10/07-10/09;いわき平@10/21-10/23;名古屋@10/30-11/01,,,21,0,🥺,4.8,
011346,野崎 修一,A3,65.80,平塚@09/28-09/30;いわき平@10/04-10/06;富山@10/17-10/19,,,21,0,🥺,6.2,
011364,遠澤 健二,A3,66.80,大垣@10/06-10/08;いわき平@10/21-10/23,,,21,0,🥺,5.0,
011367,石川 一浩,A3,69.14,前橋@10/13-10/15;和歌山@10/26-10/28,奈良,奈良Ｆ２@09/24/3R;奈良Ｆ２@09/25/4R;奈良Ｆ２@09/26/1R,21,0,,4.4,
011372,黒瀬 浩一,A2,76.28,前橋@10/06-10/08;青森@10/24-10/26,,,21,0,🥺,5.8,
011382,清水 広幸,A3,62.64,武雄@10/09-10/11;四日市@10/16-10/18,奈良,奈良Ｆ２@09/24/3R,25,0,🥺,6.6,
011417,小川 巧,A3,73.44,岐阜@10/10-10/12;前橋@10/21-10/23;松戸@10/30-11/01,奈良,奈良Ｆ２@09/24/5R;奈良Ｆ２@09/25/6R;奈良Ｆ２@09/26/4R,9,0,🚀,3.0,
011427,川口 秀人,A3,66.78,松戸@10/03-10/05;青森@10/14-10/16;武雄@10/27-10/29,奈良,奈良Ｆ２@09/24/3R;奈良Ｆ２@09/25/1R;奈良Ｆ２@09/26/1R,23,0,🥺,6.0,
011431,梶應 弘樹,A3,62.56,奈良@09/30-10/02;武雄@10/09-10/11;川崎@10/20-10/22,別府,別府Ｆ２@09/24/2R,25,0,🥺,6.8,
011451,重 一徳,A3,67.57,岐阜@10/10-10/12;青森@10/19-10/21;松戸@10/30-11/01,奈良,奈良Ｆ２@09/24/5R;奈良Ｆ２@09/25/2R;奈良Ｆ２@09/26/2R,21,0,🥺,5.0,
011454,杉浦 康一,A2,78.95,前橋@10/13-10/15;弥彦@10/30-11/01,,,21,0,🥺,5.8,
011477,川口 満宏,A1,91.57,川崎@10/09-10/11;青森@10/24-10/26,,,21,0,,4.2,
011487,宮倉 勇,A2,82.54,青森@09/30-10/02;高知@10/17-10/19,,,24,0,,4.0,
011574,坂本 英一,A3,76.31,青森@10/19-10/21;和歌山@10/26-10/28,川崎,川崎Ｆ２@09/24/3R;川崎Ｆ２@09/25/6R;川崎Ｆ２@09/26/5R,22,1,🚀,2.4,
011599,和泉田 喜一,A3,64.33,松戸@10/03-10/05;宇都宮@10/30-11/01,,,6,0,🥺,6.2,
011619,疋田 敏,A2,85.33,防府@10/04-10/06;取手@10/19-10/21,別府,別府Ｆ２@09/24/9R;別府Ｆ２@09/25/7R;別府Ｆ２@09/26/6R,18,0,🥺,4.6,
011622,杉山 正和,A3,70.88,久留米@10/01-10/03;名古屋@10/24-10/26,,,18,0,,3.8,
011634,中澤 央治,A2,83.33,防府@10/04-10/06;奈良@10/23-10/25,,,15,0,🥺,4.8,
011665,倉岡 慎太郎,A3,67.95,平塚@10/03-10/05;岐阜@10/10-10/12,奈良,奈良Ｆ２@09/24/5R;奈良Ｆ２@09/25/3R;奈良Ｆ２@09/26/1R,21,0,,3.2,
011712,金田 健一郎,A3,69.80,大垣@10/06-10/08;取手@10/19-10/21;和歌山@10/26-10/28,,,21,0,,3.8,
011713,古原 勝己,A2,,,,,0,0,,,
011715,黒木 誠一,A3,68.13,武雄@10/09-10/11;富山@10/17-10/19;久留米@10/27-10/29,,,15,0,🥺,5.2,
011734,濱口 健二,A2,,熊本@10/12-10/14;川崎@10/20-10/22,,,0,0,,,
